wnver::2.1
n 00001740 1:00001740
n 00001930 2:00001740
n 00002119 2:00001740
n 00002236 3:00001740
n 00002533 3:00001740
n 00002819 4:00001740
n 00002929 4:00001740
n 00003037 4:00001740
n 00003122 3:00001740
n 00003991 4:00001740
n 00004359 4:00001740
n 00004576 5:00001740
n 00005816 6:00001740
n 00005959 6:00001740
n 00006085 5:00001740
n 00006216 5:00001740
n 00006300 5:00001740
n 00007127 3:00001740
n 00007626 4:00001740 6:00001740
n 00015024 6:00001740
n 00016858 6:00001740
n 00018635 5:00001740
n 00019102 3:00001740
n 00020429 4:00001740
n 00020846 5:00001740
n 00021810 6:00001740
n 00022007 4:00001740
n 00022178 5:00001740
n 00022680 5:00001740
n 00023153 4:00001740
n 00023591 5:00001740
n 00025099 6:00001740
n 00026074 4:00001740
n 00026552 5:00001740
n 00026997 5:00001740
n 00027378 5:00001740
n 00027734 6:00001740
n 00027841 6:00001740
n 00028105 5:00001740
n 00028404 3:00001740
n 00029085 6:00001740
n 00029714 4:00001740
n 00030334 4:00001740
n 00031026 5:00001740
n 00031236 5:00001740
n 00031433 4:00001740
n 00032028 4:00001740
n 00032604 4:00001740
n 00032870 8:00001740
n 00032965 8:00001740
n 00033168 12:00001740
n 00033330 11:00001740
n 00033580 8:00001740
n 00034088 10:00001740
n 00034282 8:00001740
n 00034452 9:00001740
n 00034733 9:00001740
n 00034896 9:00001740
n 00035417 9:00001740
n 00035501 9:00001740
n 00035611 9:00001740
n 00035807 7:00001740
n 00036532 8:00001740
n 00036619 8:00001740
n 00036930 9:00001740
n 00037220 9:00001740
n 00037378 8:00001740
n 00037568 9:00001740
n 00037654 9:00001740
n 00037902 10:00001740
n 00038097 10:00001740
n 00038273 8:00001740
n 00038347 10:00001740
n 00038509 9:00001740
n 00038777 10:00001740
n 00038902 10:00001740
n 00039161 10:00001740
n 00039319 11:00001740
n 00039545 8:00001740
n 00039825 8:00001740
n 00039971 9:00001740
n 00040097 9:00001740
n 00040256 10:00001740
n 00040668 10:00001740
n 00040898 10:00001740
n 00041114 10:00001740
n 00041469 10:00001740
n 00041548 10:00001740
n 00041944 10:00001740
n 00042237 10:00001740
n 00042485 10:00001740
n 00042790 10:00001740
n 00043008 10:00001740
n 00043235 10:00001740
n 00043449 10:00001740
n 00043585 10:00001740
n 00043981 10:00001740
n 00044242 10:00001740
n 00044512 10:00001740
n 00044668 10:00001740
n 00044846 10:00001740
n 00045342 10:00001740
n 00045430 9:00001740
n 00045680 10:00001740
n 00045874 10:00001740
n 00046069 9:00001740
n 00046265 9:00001740
n 00046375 9:00001740
n 00046549 9:00001740
n 00046698 8:00001740
n 00046980 10:00001740
n 00047152 10:00001740
n 00047327 9:00001740
n 00047668 10:00001740
n 00047854 10:00001740
n 00047960 10:00001740
n 00048113 10:00001740
n 00048233 9:00001740
n 00048361 10:00001740
n 00048519 9:00001740
n 00048808 10:00001740
n 00049017 10:00001740
n 00049211 10:00001740
n 00049401 11:00001740
n 00049516 9:00001740
n 00049709 10:00001740
n 00049849 10:00001740
n 00050036 11:00001740
n 00050221 11:00001740
n 00050376 9:00001740
n 00050470 9:00001740
n 00050658 9:00001740
n 00050824 9:00001740
